Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Follower Count,Followers gained,Views gained,Partnered,Mature,Language
Tfue,3671000070,123660,285644,29602,8938903,1,2068424,78998587,TRUE,FALSE,English
shroud,888505170,30240,471281,29612,7744066,1,833587,30621257,TRUE,FALSE,English
Myth,1479214575,134760,122552,9396,6726893,1,1421811,37384058,TRUE,FALSE,English
Rubius,2588632635,58275,240096,42948,5751354,1,3820532,58599449,TRUE,FALSE,Spanish
pokimane,964334055,56505,112160,16026,5367605,1,2085831,45579002,TRUE,FALSE,English
summit1g,6091677300,211845,310998,25610,5310163,1,1370184,89705964,TRUE,FALSE,English
TimTheTatman,2834436990,108780,142067,25664,5265659,1,1244341,50119786,TRUE,TRUE,English
dakotaz,978947160,132615,43397,7112,4520305,1,489250,18504106,TRUE,FALSE,English
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,1,497678,56855694,TRUE,FALSE,English
DrDisrespect,1839882465,73065,97540,23794,4450718,1,825004,43919410,TRUE,FALSE,English
DrLupo,1517612010,172350,90696,8311,4115083,1,567795,47295386,TRUE,FALSE,English
NICKMERCS,3360675195,136275,115633,24181,4074287,1,1089824,46084211,TRUE,FALSE,English
auronplay,2410022550,40575,170115,53986,3983847,1,3966525,41514854,TRUE,FALSE,Spanish
ESL_CSGO,3970318140,517740,300575,7714,3944850,1,703986,106546942,TRUE,FALSE,English
TheGrefg,1757406750,54855,538444,28887,3795667,1,3593081,47094362,TRUE,FALSE,Spanish
SypherPK,1016450160,145230,130401,6553,3611359,1,1118169,26996445,TRUE,FALSE,English
Fortnite,369166335,12030,169084,28584,3558217,1,1163448,21509520,TRUE,FALSE,English
loltyler1,2928356940,122490,89387,22381,3530767,1,951730,51349926,TRUE,FALSE,English
alanzoka,2055003870,103770,89153,19560,3445134,1,1325075,46515698,TRUE,FALSE,Portuguese
xQcOW,6196161750,215250,222720,27716,3246298,1,1734810,93036735,TRUE,FALSE,English
Fresh,1464179820,147660,57431,9728,3135667,1,1875187,25341820,TRUE,FALSE,English
Syndicate,289369785,58695,22845,4281,3000509,1,282047,13227099,TRUE,FALSE,English
Mongraal,492733995,27060,89706,18180,2951980,1,1454481,19515587,TRUE,FALSE,English
Bugha,1324519320,100470,66311,12982,2942212,1,2220765,49441744,TRUE,FALSE,English
MontanaBlack88,2408460990,67740,181600,33514,2911316,1,1101093,37189666,TRUE,TRUE,German
sodapoppin,2329440420,115305,107833,19659,2786162,1,236169,39334821,TRUE,TRUE,English
Faker,492835710,17115,56325,29414,2716270,1,750480,26508938,TRUE,FALSE,Korean
LIRIK,2832930285,128490,89170,21739,2666382,1,199077,50504526,TRUE,FALSE,English
imaqtpie,596368095,167190,26087,3478,2652018,1,50312,13182700,TRUE,FALSE,English
Nightblue3,899215845,118980,17738,7234,2641880,1,175130,19181711,TRUE,FALSE,English
Anomaly,2865429915,92880,125408,12377,2607076,1,1532689,36350662,TRUE,FALSE,English
